import time: self [us] | cumulative | imported package
import time:       109 |        109 | winreg
import time:       279 |        279 |   _io
import time:        43 |         43 |   marshal
import time:       213 |        213 |   nt
import time:       850 |       1383 | _frozen_importlib_external
import time:      1802 |       1802 |   time
import time:       332 |       2133 | zipimport
import time:        63 |         63 |     _codecs
import time:       575 |        637 |   codecs
import time:      2808 |       2808 |   encodings.aliases
import time:      3002 |       3002 |   encodings._win_cp_codecs
import time:      3031 |       9476 | encodings
import time:      2046 |       2046 | encodings.utf_8
import time:      2014 |       2014 | encodings.cp1252
import time:        99 |         99 | _signal
import time:        46 |         46 |       _abc
import time:       179 |        225 |     abc
import time:        73 |         73 |       _stat
import time:       190 |        263 |     stat
import time:       861 |        861 |     _collections_abc
import time:        85 |         85 |       genericpath
import time:        97 |         97 |       _winapi
import time:       239 |        420 |     ntpath
import time:       480 |       2247 |   os
import time:        85 |         85 |   _sitebuiltins
import time:        47 |         47 |   errno
import time:      2223 |       2223 |   encodings.utf_8_sig
import time:      2755 |       2755 |   _distutils_hack
import time:       636 |        636 |     pywin32_system32
import time:      2252 |       2888 |   pywin32_bootstrap
import time:       282 |        282 |   sitecustomize
import time:       249 |        249 |   usercustomize
import time:     36599 |      47372 | site
import time:      2139 |       2139 | linecache
import time:     41201 |      41201 |   mcp_server_azure_architect
import time:       265 |        265 |       itertools
import time:      3465 |       3465 |       keyword
import time:       123 |        123 |         _operator
import time:      1948 |       2071 |       operator
import time:      2502 |       2502 |       reprlib
import time:       149 |        149 |       _collections
import time:      4481 |      12931 |     collections
import time:      2507 |       2507 |     copyreg
import time:       101 |        101 |         _types
import time:      2702 |       2803 |       types
import time:       126 |        126 |       _functools
import time:      4802 |       7731 |     functools
import time:        51 |         51 |     _typing
import time:      6818 |      30036 |   typing
import time:      3561 |       3561 |           mcp.client
import time:       294 |        294 |             io
import time:      4077 |       4077 |               enum
import time:       175 |        175 |                 _sre
import time:      2708 |       2708 |                   re._constants
import time:      3371 |       6079 |                 re._parser
import time:      2093 |       2093 |                 re._casefix
import time:      2762 |      11107 |               re._compiler
import time:      3074 |      18256 |             re
import time:      3963 |       3963 |               textwrap
import time:        93 |         93 |                   _contextvars
import time:      2670 |       2763 |                 _py_warnings
import time:      4800 |       7562 |               warnings
import time:      1963 |       1963 |                 __future__
import time:      1702 |       3665 |               codeop
import time:      1525 |       1525 |                 token
import time:        69 |         69 |                 _tokenize
import time:      2413 |       4007 |               tokenize
import time:      3487 |       3487 |                       _weakrefset
import time:      2341 |       5828 |                     weakref
import time:      1961 |       7788 |                   copy
import time:       186 |        186 |                         _ast
import time:      2450 |       2636 |                       ast
import time:      2244 |       4880 |                     annotationlib
import time:        84 |         84 |                         _opcode
import time:      3652 |       3652 |                         _opcode_metadata
import time:      2311 |       6047 |                       opcode
import time:      3471 |       9517 |                     dis
import time:      2797 |       2797 |                       importlib
import time:       132 |       2929 |                     importlib.machinery
import time:      4407 |      21732 |                   inspect
import time:      3080 |      32598 |                 dataclasses
import time:      8087 |      40684 |               _colorize
import time:      3909 |       3909 |               contextlib
import time:      3186 |      66974 |             traceback
import time:       120 |        120 |               _string
import time:      2526 |       2645 |             string
import time:      5952 |       5952 |             threading
import time:       110 |        110 |             atexit
import time:      4052 |      98281 |           logging
import time:       141 |        141 |             _datetime
import time:      2383 |       2524 |           datetime
import time:      3086 |       3086 |                 anyio._core
import time:      2176 |       5262 |               anyio._core._contextmanagers
import time:       120 |        120 |                 math
import time:      1759 |       1759 |                 contextvars
import time:      3033 |       3033 |                 anyio._core._exceptions
import time:      2492 |       2492 |                   sniffio._version
import time:      4177 |       4177 |                   sniffio._impl
import time:      3020 |       9688 |                 sniffio
import time:      1578 |      16175 |               anyio._core._eventloop
import time:      1065 |       1065 |                     posix
import time:       626 |        626 |                     posix
import time:       409 |       2099 |                   posixpath
import time:      6198 |       6198 |                     fnmatch
import time:      4866 |      11064 |                   glob
import time:      1000 |       1000 |                   pwd
import time:       678 |        678 |                   grp
import time:       814 |        814 |                     fcntl
import time:       409 |        409 |                     posix
import time:      3850 |       5072 |                   pathlib._os
import time:      5435 |      25345 |                 pathlib
import time:      3749 |       3749 |                       signal
import time:      6477 |       6477 |                         _socket
import time:      5615 |      12092 |                       socket
import time:      5401 |      21241 |                     anyio.abc._eventloop
import time:      3976 |       3976 |                     anyio.abc._resources
import time:      4306 |       4306 |                       ipaddress
import time:      3288 |       3288 |                       anyio._core._typedattr
import time:      2678 |       2678 |                         anyio.abc._tasks
import time:      3085 |       5763 |                       anyio.abc._streams
import time:      3779 |      17134 |                     anyio.abc._sockets
import time:      2102 |       2102 |                     anyio.abc._subprocesses
import time:      1626 |       1626 |                     anyio.abc._testing
import time:      3727 |       3727 |                       anyio.lowlevel
import time:      1703 |       1703 |                       anyio._core._tasks
import time:      2010 |       2010 |                       anyio._core._testing
import time:      6625 |      14065 |                     anyio._core._synchronization
import time:      1702 |       1702 |                         concurrent
import time:      3407 |       3407 |                         concurrent.futures._base
import time:       144 |        144 |                         _interpreters
import time:      2490 |       7742 |                       concurrent.futures
import time:      2677 |      10418 |                     anyio.from_thread
import time:      2313 |      72871 |                   anyio.abc
import time:      3673 |      76543 |                 anyio.to_thread
import time:      2751 |     104638 |               anyio._core._fileio
import time:      2883 |       2883 |               anyio._core._resources
